id,name,price,url,rating,review_count,brand_name,suitable_type,ingredients,sentiment,first_sentence
199,Le Baume,$12.00,https://credobeauty.com/products/le-baume,4.5,62,Doré,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['sun protection'],20% positive,"Thick and rich, a little dabll do on hands, lips, or other."
200,Le Cleanser,From $11,https://credobeauty.com/products/le-cleanser,4.6,55,Doré,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'alcohol', 'sun protection']",80% positive,"This is a stiffer than I would like, which makes it a bit difficult to."
201,La Crème,$36.00,https://credobeauty.com/products/la-creme,No rating,68,Doré,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",100% positive,The texture is super smooth and its the right amount of moisture for me without being too.
202,VANILLA MILK Shimmering Scented Body Oil,$70.00,https://credobeauty.com/products/vanilla-milk-shimmering-scented-body-oil,No rating,No reviews,Ellis Brooklyn,['all skin'],"['fragrance', 'antioxidants', 'sun protection']",,
203,LOVE TRIANGLE Fragrance Rollerball Trio,$75.00,https://credobeauty.com/products/love-triangle-fragrance-rollerball-trio,No rating,No reviews,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
204,MYSTERY Fragrance Discovery Set,$27.00,https://credobeauty.com/products/mystery-fragrance-discovery-set,4,4,Ellis Brooklyn,['all skin'],"['alcohol', 'fragrance']",,
205,PEACHES Hair and Body Fragrance Mist,$35.00,https://credobeauty.com/products/peaches-hair-and-body-fragrance-mist,1,1,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
206,APPLE LOVE Eau De Parfum,From $33,https://credobeauty.com/products/apple-love-eau-de-parfum,No rating,3,Ellis Brooklyn,[],"['alcohol', 'fragrance']",67% positive,Amazing scent yummy love this such a grown fruity scent.
207,BEACH READ Fragrance Body Mist Trio,$85.00,https://credobeauty.com/products/beach-read-fragrance-body-mist-trio,No rating,No reviews,Ellis Brooklyn,['all skin'],"['alcohol', 'fragrance']",,
208,ROM COM Fragrance Gift Set,$110.00,https://credobeauty.com/products/rom-com-fragrance-gift-set,No rating,No reviews,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
209,SUN Hair and Body Fragrance Mist,$48.00,https://credobeauty.com/products/sun-fragrance-body-mist,4.7,3,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
210,FLORIST Eau De Parfum,From $33,https://credobeauty.com/products/florist-eau-de-parfum,4.2,20,Ellis Brooklyn,['all skin'],"['alcohol', 'fragrance']",40% positive,"Nice smell, quite floral, not that longlasting, Great smell, or at least."
211,VANILLA MILK Eau de Parfum,From $33,https://credobeauty.com/products/vanilla-milk-eau-de-parfum,No rating,No reviews,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
212,SUN FRUIT Eau de Parfum,From $33,https://credobeauty.com/products/sun-fruit-eau-de-parfum,4.1,21,Ellis Brooklyn,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['alcohol', 'fragrance']",,
213,APRÈS Eau De Parfum,From $33,https://credobeauty.com/products/apres-eau-de-parfum,No rating,23,Ellis Brooklyn,['all skin'],"['alcohol', 'fragrance']",100% positive,This fragrance is Amazing.
214,SUPER AMBER Eau de Parfum,From $33,https://credobeauty.com/products/super-amber-eau-de-parfum,No rating,41,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
215,BEE Eau de Parfum,From $33,https://credobeauty.com/products/bee-eau-de-parfum,No rating,54,Ellis Brooklyn,[],"['alcohol', 'fragrance']",80% positive,"BEE is a soft, slightly sweet, honey and straw fragrance that is beautiful for."
216,ISO GAMMA Super Eau de Parfum,$110.00,https://credobeauty.com/products/iso-gamma-super-eau-de-parfum,4.4,19,Ellis Brooklyn,['all skin'],"['alcohol', 'fragrance']",80% positive,Its a perfect layering scent with other scents and just fantastic for summer in the.
217,SWEET Eau de Parfum,From $33,https://credobeauty.com/products/sweet-eau-de-parfum,4.8,49,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
218,SALT Eau de Parfum,From $33,https://credobeauty.com/products/salt-eau-de-parfum,No rating,No reviews,Ellis Brooklyn,['all skin'],"['alcohol', 'fragrance']",,
219,WEST Eau de Parfum,From $33,https://credobeauty.com/products/west-eau-de-parfum,4.5,79,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
220,MARVELOUS Massage and Body Oil,From $21,https://credobeauty.com/products/marvelous-massage-and-body-oil,No rating,7,Ellis Brooklyn,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['fragrance', 'antioxidants', 'sun protection']",,
221,SUPEREGO: Terrific Scented Candle,$65.00,https://credobeauty.com/products/superego-terrific-scented-candle,3.8,5,Ellis Brooklyn,[],['moisture'],,
222,FAWN Eau de Parfum,From $33,https://credobeauty.com/products/fawn-eau-de-parfum-50-ml,4.7,42,Ellis Brooklyn,[],"['alcohol', 'fragrance']",100% positive,I chose this perfume to wear on my wedding day absolutely love this nostalgic smell of summer.
223,SCI FI Eau de Parfum,From $33,https://credobeauty.com/products/sci-fi-eau-de-parfum-50-ml,4.4,32,Ellis Brooklyn,[],"['alcohol', 'fragrance']",,
224,MYTH Eau de Parfum,From $33,https://credobeauty.com/products/ellis-brooklyn-myth-eau-de-parfum,4.7,58,Ellis Brooklyn,[],"['alcohol', 'fragrance']",60% positive,Beautiful scent.
225,RROSE Eau de Parfum,From $33,https://credobeauty.com/products/ellis-brooklyn-rrose-eau-de-parfum,4.5,42,Ellis Brooklyn,[],"['alcohol', 'fragrance']",80% positive,The smell is rosy but not too sweet.
226,Corn Setting Powder,From $32,https://credobeauty.com/products/corn-setting-powder,No rating,No reviews,Ere Perez,['sensitive skin'],[],100% positive,All natural powder feels light on the skin but has full coverage without looking cakey.
227,Fig All-Beauty Jelly,$36.00,https://credobeauty.com/products/fig-jelly,4.8,116,Ere Perez,['all skin'],"['moisture', 'antioxidants', 'sun protection']",100% positive,I use this daily to remove my makeup as well as the waterproof mascara from Ere.
228,Coco Crayon,$27.00,https://credobeauty.com/products/coco-crayon,No rating,148,Ere Perez,['all skin'],['antioxidants'],,
229,Moringa All-Beauty Creme,$38.00,https://credobeauty.com/products/moringa-all-beauty-creme,4.8,80,Ere Perez,['all skin'],"['repair', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
230,Quandong Green Booster Serum,$38.00,https://credobeauty.com/products/quandong-green-booster-serum,4.8,213,Ere Perez,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'exfoliating']",,
231,Eco Vegan Multipurpose Brush,$28.00,https://credobeauty.com/products/eco-vegan-multipurpose-brush,No rating,18,Ere Perez,['all skin'],[],100% positive,The perfect brush.
232,Carrot Colour Pot,$31.00,https://credobeauty.com/products/carrot-colour-pot,4.8,199,Ere Perez,['all skin'],"['moisture', 'antioxidants']",100% positive,Beautiful pretty pink.
233,Australian Blue Cypress Face Nectar,$38.00,https://credobeauty.com/products/australian-blue-cypress-face-nectar,4.9,160,Ere Perez,['all skin'],['antioxidants'],100% positive,This is a gorgeous oil that restores my skin.
234,Papaya SOS Marmalade,$35.00,https://credobeauty.com/products/papaya-sos-marmalade,4.7,65,Ere Perez,['all skin'],"['moisture', 'antioxidants', 'brightening']",,
235,Cranberry Lip & Eye Butter,$30.00,https://credobeauty.com/products/cranberry-lip-eye-butter,No rating,No reviews,Ere Perez,['all skin'],"['moisture', 'antioxidants', 'exfoliating']",100% positive,This is rich but not heavy  just the nighttime remedy for lips that are feeling dry.
236,Eco Duo Sharpener,$12.00,https://credobeauty.com/products/eco-duo-sharpener,4.6,29,Ere Perez,[],[],80% positive,"Great product, perfect for my lip crayon and eye pencil."
237,Spectacular Eyelash Curler,$21.00,https://credobeauty.com/products/spectacular-eyelash-curler,No rating,No reviews,Ere Perez,[],['silicones & others'],,
238,Vegan Mango Lip Honey,$27.00,https://credobeauty.com/products/vegan-mango-lip-honey,No rating,No reviews,Ere Perez,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],,
239,Beetroot Cheek & Lip Tint,$30.00,https://credobeauty.com/products/beetroot-cheek-lip-tint,4.5,238,Ere Perez,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants']",100% positive,This is the ONLY lip product I have that lasts for hours.
240,Natural Almond Mascara,From $28,https://credobeauty.com/products/natural-almond-mascara,No rating,187,Ere Perez,"['sensitive skin', 'all skin']",['moisture'],,
241,Avocado Waterproof Mascara,$29.00,https://credobeauty.com/products/avocado-waterproof-mascara,4.5,No reviews,Ere Perez,"['sensitive skin', 'all skin']","['moisture', 'antioxidants']",60% positive,The mascara that holds a curl for my straight lashes.
242,Aloe Gel Lash & Brow Mascara,$29.00,https://credobeauty.com/products/aloe-gel-lash-brow-mascara,4.3,326,Ere Perez,"['sensitive skin', 'all skin']","['moisture', 'alcohol', 'repair']",,
243,Jojoba Eye Pencil,$24.00,https://credobeauty.com/products/jojoba-eye-pencil,4.7,330,Ere Perez,"['sensitive skin', 'all skin']","['moisture', 'antioxidants']",100% positive,Credo has the best in clean beauty and the most helpful staff.
244,Dermatological Strength Shea Butter,$25.00,https://credobeauty.com/products/dermatological-strength-shea-butter,4.2,15,Eu'Genia,['all skin'],['moisture'],100% positive,I love the EuGenoa she butter.
245,Unscented Shea Butter,From $12,https://credobeauty.com/products/unscented-shea-butter,No rating,No reviews,Eu'Genia,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],,
246,Essence of Lavender Shea Butter,From $12,https://credobeauty.com/products/eugenia-shea-essence-of-lavender-shea-butter,No rating,93,Eu'Genia,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],60% positive,"Love to use on my lips, hands and cuticles, elbows, knees and feet."
247,Essence of Grapefruit Shea Butter,$12.00,https://credobeauty.com/products/eugenia-shea-essence-of-grapefruit-shea-butter,4.5,87,Eu'Genia,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],100% positive,Grapefruit goodness in a tiny package.
248,"Everyday Oil, Mainstay Blend",From $24,https://credobeauty.com/products/everyday-oil-mainstay-blend,4.8,89,Everyday Oil,['all hair'],['moisture'],80% positive,This body oil is one of the few moisturizers that does not cause my skin to.
249,Nightly Renew Facial Cream,$49.00,https://credobeauty.com/products/nightly-renew-facial-cream,No rating,43,Evolve Organic Beauty,"['dry skin', 'normal skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
250,Kalahari Dream Cleansing Oil,$30.00,https://credobeauty.com/products/kalahari-dream-cleansing-oil,4.5,58,Evolve Organic Beauty,"['normal skin', 'combination skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'fragrance', 'exfoliating']",60% positive,This is the ONLY one that does not sting my eyes and it is the only one.
251,Deep Clean Micellar Water,$27.00,https://credobeauty.com/products/deep-clean-micellar-water,No rating,79,Evolve Organic Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],80% positive,One of very few mostly organic micellar waters on the market.
252,Rose Quartz Facial Polish,$32.00,https://credobeauty.com/products/rose-quartz-facial-polish,No rating,47,Evolve Organic Beauty,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'fragrance']",,
253,Bio-Retinol + C Booster,$38.00,https://credobeauty.com/products/bio-retinol-c-booster,4.7,85,Evolve Organic Beauty,['all skin'],"['fragrance', 'anti-aging', 'antioxidants']",80% positive,This is a repurchase for maybe the 4th or 5th time.
254,Bio-Retinol Gold Mask,$40.00,https://credobeauty.com/products/bio-retinol-gold-mask,No rating,119,Evolve Organic Beauty,"['dry skin', 'normal skin']","['moisture', 'fragrance', 'antioxidants', 'sun protection']",100% positive,"A great, quick refresh."
255,360 Eye and Lip Contour,$40.00,https://credobeauty.com/products/360-eye-and-lip-contour,No rating,70,Evolve Organic Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",0% positive,This product delivered zero results.
256,Liquid Radiance Glycolic Toner,$28.00,https://credobeauty.com/products/liquid-radiance-glycolic-toner,4.7,73,Evolve Organic Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],80% positive,"Liquid Radiance Glycolic Toner is easy to use, smell is subtle,."
257,True Balance Lotion,$33.00,https://credobeauty.com/products/true-balance-lotion,No rating,No reviews,Evolve Organic Beauty,"['oily skin', 'combination skin', 'all skin']","['moisture', 'alcohol', 'fragrance', 'antioxidants']",,
258,Peptide 360 Serum,$60.00,https://credobeauty.com/products/superfood-360-serum,4.8,63,Evolve Organic Beauty,"['dry skin', 'normal skin']","['antioxidants', 'sun protection', 'moisture', 'fragrance']",,
259,Multi Peptide 360 Anti-Aging Cream,From $28,https://credobeauty.com/products/multi-peptide-360-moisture-cream,4.6,214,Evolve Organic Beauty,"['dry skin', 'normal skin', 'aging skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
260,Gentle Cleansing Melt,$36.00,https://credobeauty.com/products/gentle-cleansing-melt,4.5,87,Evolve Organic Beauty,"['dry skin', 'normal skin']","['moisture', 'antioxidants', 'sun protection']",60% positive,Cleansing melt does a great job removing makeup and sunscreen as the first step in.
261,Daily Renew Face Cream,From $26,https://credobeauty.com/products/daily-renew-face-cream,4.5,75,Evolve Organic Beauty,"['dry skin', 'normal skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",100% positive,Daily Renew Face Cream is a great daily moisturizer cream for drier skin.
262,Hyaluronic Eye Complex,$26.00,https://credobeauty.com/products/hyaluronic-eye-complex,4.2,92,Evolve Organic Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],100% positive,The formulation is dewy and the roller ball refreshingly perks up the under eye area.
263,Hyaluronic Serum 200,From $45,https://credobeauty.com/products/hyaluronic-serum-200,No rating,225,Evolve Organic Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']",['moisture'],80% positive,The perfect addition to my winter skin routine.
264,Radiant Glow 2-in-1 Mask Scrub,$35.00,https://credobeauty.com/products/radiant-glow-mask,No rating,No reviews,Evolve Organic Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",,
265,deodorant discovery set,$44.00,https://credobeauty.com/products/deodorant-discovery-set,4.8,No reviews,evolvetogether,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'repair']",75% positive,I was looking for a new clean deodorant and decided to purchase the set in.
266,havana - deodorant,$24.00,https://credobeauty.com/products/havana-deodorant,4.8,4,evolvetogether,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'repair']",100% positive,The Havana fragrance is earthy and herbal but in a classy hotel spa kind of way.
267,havana - exfoliating bar soap,$21.00,https://credobeauty.com/products/havana-exfoliating-bar-soap,No rating,No reviews,evolvetogether,[],"['moisture', 'fragrance', 'repair', 'exfoliating']",,
268,havana - nutrient rich body cleanser,$43.00,https://credobeauty.com/products/havana-nutrient-rich-body-cleanser,No rating,No reviews,evolvetogether,['all skin'],"['moisture', 'fragrance', 'sun protection', 'exfoliating']",,
269,havana - nutrient rich body cream,$58.00,https://credobeauty.com/products/havana-nutrient-rich-body-cream,No rating,No reviews,evolvetogether,['all skin'],"['repair', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
270,monaco - deodorant,$24.00,https://credobeauty.com/products/monaco-deodorant,4.6,5,evolvetogether,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'repair']",,
271,monaco - hydrating bar soap,$21.00,https://credobeauty.com/products/monaco-hydrating-bar-soap,No rating,No reviews,evolvetogether,['all skin'],"['moisture', 'fragrance', 'repair']",,
272,monaco - nutrient rich body cleanser,$43.00,https://credobeauty.com/products/monaco-nutrient-rich-body-cleanser,No rating,No reviews,evolvetogether,['all skin'],"['moisture', 'fragrance', 'sun protection']",,
273,monaco - nutrient rich body cream,$58.00,https://credobeauty.com/products/monaco-nutrient-rich-body-cream,No rating,No reviews,evolvetogether,['all skin'],"['repair', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
274,provence - hydrating lip balm,$26.00,https://credobeauty.com/products/provence-hydrating-lip-balm,No rating,1,evolvetogether,['all skin'],['moisture'],,
275,taormina - deodorant,$24.00,https://credobeauty.com/products/taormina-deodorant,4.8,6,evolvetogether,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'repair']",,
276,tulum - deodorant,$24.00,https://credobeauty.com/products/tulum-deodorant,No rating,No reviews,evolvetogether,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'repair']",,
277,Better Roots Growth Support Styling Foam,$36.00,https://credobeauty.com/products/better-roots-growth-support-styling-foam,No rating,2,EVOLVh,"['fine hair', 'curly hair', 'all hair']","['moisture', 'alcohol', 'fragrance', 'anti-aging']",100% positive,The product seems to be ok so far thought I wouldnt say it give the volume.
278,Better Roots Growth Support Shampoo,$32.00,https://credobeauty.com/products/better-roots-growth-support-shampoo,3,2,EVOLVh,"['fine hair', 'curly hair', 'all hair']","['moisture', 'fragrance', 'anti-aging']",0% positive,Cleansed well but somehow left hair feeling limp and frizzy kind of weighed down.
279,Better Roots Growth Support Conditioner,$28.00,https://credobeauty.com/products/better-roots-growth-support-conditioner,No rating,2,EVOLVh,"['fine hair', 'curly hair', 'all hair']","['moisture', 'alcohol', 'repair', 'fragrance']",50% positive,"From the very first use, I noticed a difference in the texture and health of my."
280,The Standard Hair Oil,$38.00,https://credobeauty.com/products/the-standard-hair-oil,3.7,3,EVOLVh,['all hair'],"['moisture', 'repair', 'fragrance']",,
281,Better Roots RootBoost Serum,$48.00,https://credobeauty.com/products/better-roots-rootboost-serum,4.4,20,EVOLVh,['all hair'],"['moisture', 'anti-aging']",60% positive,This scalp serum absorbs so fast and its so light.
282,Better Roots Scalp & Hair Oil,$38.00,https://credobeauty.com/products/better-roots-scalp-hair-oil,4.3,13,EVOLVh,['all hair'],"['moisture', 'repair', 'sun protection']",100% positive,I like it.
283,Better Roots RootBoost Complex,$59.00,https://credobeauty.com/products/better-roots-rootboost-complex,4.7,3,EVOLVh,['all hair'],"['anti-aging', 'antioxidants', 'brightening', 'exfoliating']",100% positive,This supplement really does work and does not cause me to break out like some hair supplements.
284,DreamGel,$24.00,https://credobeauty.com/products/dreamgel,4.6,49,EVOLVh,"['damaged hair', 'fine hair', 'curly hair', 'straight hair', 'all hair']","['moisture', 'alcohol', 'sun protection']",80% positive,This is a new gel for me I have been using KCCC but wanted a change.
285,InstaVolume Volumizing Mousse,$29.00,https://credobeauty.com/products/instavolume-volumizing-mousse,4.8,168,EVOLVh,['oily hair'],"['antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",20% positive,Super light weight but gave me volume without feeling greasy Added texture and volume but Added.
286,UltraFlex Hairspray,$32.00,https://credobeauty.com/products/ultraflex-hairspray,No rating,No reviews,EVOLVh,['all hair'],"['moisture', 'antioxidants', 'sun protection', 'exfoliating']",,
287,InstaVolume Volumizing Elixir,$30.00,https://credobeauty.com/products/instavolume-volumizing-elixir,4.6,62,EVOLVh,"['oily hair', 'fine hair']","['moisture', 'alcohol', 'antioxidants', 'sun protection']",80% positive,This is lightweight and creates beautiful volume replacing conditioner in the shower with the shampoo combo.
288,InstaVolume Cleansing Treatment,$29.00,https://credobeauty.com/products/instavolume-cleansing-treatment,4.8,72,EVOLVh,"['oily hair', 'fine hair']","['moisture', 'alcohol', 'anti-aging', 'sun protection']",100% positive,This product along with step 2 InstaVolume Volumizing Elixer has completely.
289,SmartColor Color Protecting Shampoo & Conditioner 1L Duo,$159.00,https://credobeauty.com/products/smartcolor-color-protecting-shampoo-conditioner-1l-duo,4.7,39,EVOLVh,"['damaged hair', 'dry hair']","['anti-aging', 'sun protection', 'moisture', 'alcohol']",,
290,Ultrashine Moisture Shampoo & Conditioner 1L Duo,$139.00,https://credobeauty.com/products/ultrashine-moisture-shampoo-conditioner-1l-duo,No rating,No reviews,EVOLVh,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'straight hair', 'all hair']","['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'brightening']",,
291,SuperCurl Defining Cream,$34.00,https://credobeauty.com/products/supercurl-defining-cream,No rating,82,EVOLVh,['curly hair'],"['moisture', 'alcohol', 'sun protection']",,
292,SmartCurl Leave In Conditioner,$29.00,https://credobeauty.com/products/smartcurl-leave-in-conditioner,No rating,No reviews,EVOLVh,"['oily hair', 'curly hair']","['moisture', 'alcohol', 'antioxidants', 'sun protection']",,
293,SmartColor Color Protecting Conditioner,$36.00,https://credobeauty.com/products/smartcolor-color-protecting-conditioner,No rating,38,EVOLVh,"['damaged hair', 'dry hair', 'all hair']","['alcohol', 'sun protection']",,
294,SmartColor Color Protecting Shampoo,$34.00,https://credobeauty.com/products/smartcolor-color-protecting-shampoo,No rating,No reviews,EVOLVh,"['damaged hair', 'dry hair', 'all hair']","['moisture', 'alcohol', 'anti-aging', 'sun protection']",,
295,WonderBalm,$59.00,https://credobeauty.com/products/wonderbalm,No rating,No reviews,EVOLVh,['all hair'],['moisture'],,
296,SmartCurl Hydrating Conditioner,$34.00,https://credobeauty.com/products/smartcurl-hydrating-conditioner,No rating,No reviews,EVOLVh,"['damaged hair', 'curly hair', 'all hair']","['alcohol', 'antioxidants', 'sun protection', 'brightening']",,
297,SmartCurl Hydrating Wash,$32.00,https://credobeauty.com/products/smartcurl-hydrating-wash,4.7,91,EVOLVh,"['oily hair', 'curly hair']","['anti-aging', 'antioxidants', 'sun protection', 'alcohol', 'brightening']",,
298,UltraShine Moisture Conditioner,From $9,https://credobeauty.com/products/evolvh-ultrashine-moisture-conditioner,4.5,260,EVOLVh,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'straight hair', 'all hair']","['antioxidants', 'sun protection', 'moisture', 'alcohol', 'brightening']",80% positive,Grapefruit scented shampoo and conditioner work together to make my hair feel and.
299,SmartStart Leave In Conditioner,$28.00,https://credobeauty.com/products/evolvh-smartstart-leave-in-conditioner,4.8,115,EVOLVh,['all hair'],"['moisture', 'alcohol', 'antioxidants', 'sun protection']",80% positive,EVOLVhs products are definitely worth the money if you have the ability to spl.
300,UltraShine Moisture Shampoo,From $8,https://credobeauty.com/products/evolvh-ultrashine-moisture-shampoo,No rating,346,EVOLVh,"['damaged hair', 'dry hair', 'fine hair', 'curly hair', 'straight hair', 'all hair']","['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'brightening']",80% positive,This shampoo was not hydrating.
301,All Smiles Bare Lip Liner,$16.00,https://credobeauty.com/products/all-smiles-bare-lip-liner,4.7,151,Exa,['all skin'],"['silicones & others', 'antioxidants', 'brightening']",100% positive,This was my first Exa purchase and I am very impressed.
302,All Smiles Universal Glow Lip Oil,$15.00,https://credobeauty.com/products/all-smiles-universal-glow-lip-oil,4.4,161,Exa,['all skin'],[],80% positive,All Smiles Universal Glow Lip Oil Nice if you like a dewey look with.
303,All In Essential Brush Set,$49.00,https://credobeauty.com/products/all-in-essential-brush-set,4.6,43,Exa,[],[],80% positive,I like them very much.
304,ten18 Lash Amplifying Mascara,$24.00,https://credobeauty.com/products/ten18-lash-amplifying-mascara,4.3,231,Exa,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'brightening']",,
305,Splash Zone Oil-Free Hydrating Primer,$34.00,https://credobeauty.com/products/splash-zone-oil-free-hydrating-primer,4.6,40,Exa,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'moisture', 'exfoliating']",,
306,High Fidelity Balancing Color Corrector,$27.00,https://credobeauty.com/products/high-fidelity-balancing-color-corrector,4.6,280,Exa,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'antioxidants', 'moisture', 'exfoliating']",80% positive,Color corrector works perfectly for my light skin tone and gets rid of dark circles under.
307,Light Show Color Melt Multi-Use Pigment,From $15,https://credobeauty.com/products/light-show-color-melt-foil,4.5,110,Exa,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'alcohol', 'antioxidants']",100% positive,Very pigmented so a little goes a long way.
308,High Fidelity Foundation,$38.00,https://credobeauty.com/products/high-fidelity-foundation,4.6,506,Exa,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",,
309,Jump Start Smoothing Primer,$34.00,https://credobeauty.com/products/jump-start-smoothing-primer,No rating,201,Exa,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'alcohol', 'antioxidants']",80% positive,"Lightweight, goes on smooth, just the right amount of primer premakeup."
310,All In Essential Makeup Bag,$30.00,https://credobeauty.com/products/all-in-essential-makeup-bag,No rating,No reviews,Exa,['all skin'],[],,
311,All In Glow Prep + Set Duo,$45.00,https://credobeauty.com/products/all-in-glow-prep-set-duo,No rating,13,Exa,['all skin'],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol']",40% positive,"This primer from Exa is the only one I can use for my sensitive, dry."
312,All In Dual Pencil Sharpener,$12.00,https://credobeauty.com/products/all-in-dual-pencil-sharpener,4.5,8,Exa,['all skin'],[],60% positive,Credo sharpener works for all of my pencils works pretty well but takes works.
313,Dual Shield Set + Glow Mist,$28.00,https://credobeauty.com/products/dual-shield-set-glow-mist,3.8,37,Exa,['all skin'],"['moisture', 'anti-aging', 'sun protection']",40% positive,The exa spray was first launched by Credo Girls Make Due.
314,All In Complexion Sponge,$14.00,https://credobeauty.com/products/all-in-complexion-sponge,4.9,59,Exa,['all skin'],[],100% positive,"All In Complextion Sponge Helps blend makeup really well, easy to use."
315,All Around Shading Brush,$18.00,https://credobeauty.com/products/all-around-shading-brush,5,2,Exa,['all skin'],[],100% positive,Good quality Works great for concealing flaws with a light touch.
316,High Fidelity Brightening Concealer Stick,$28.00,https://credobeauty.com/products/high-fidelity-brightening-concealer-stick,4.5,48,Exa,['all skin'],[],100% positive,This concealer as a final touch when applying my makeup creates a beautiful glow.
317,All Over Buffing Brush,$22.00,https://credobeauty.com/products/all-over-buffing-brush,4.6,19,Exa,['all skin'],[],100% positive,"This works well for blending in foundation, skin tint, concealer, blush, etc."
318,All Out Perfecting Brush,$18.00,https://credobeauty.com/products/all-out-perfecting-brush,4.9,No reviews,Exa,['all skin'],[],100% positive,Love this but use so much I bought a second one.
319,Glossed Up Duo,$26.00,https://credobeauty.com/products/210000014859,4.8,No reviews,Exa,['all skin'],[],100% positive,"These glosses are lightweight, not sticky and leave a nice whisper of color on my."
320,All For You Gift Set,$59.00,https://credobeauty.com/products/all-for-you-gift-set,No rating,1,Exa,['all skin'],[],100% positive,All For You Gift Set is my favorite way to try clean products.
321,EXA Flexi-Hold Eyebrow Gel,$22.00,https://credobeauty.com/products/exa-flexi-hold-eyebrow-gel,No rating,29,Exa,['all skin'],"['moisture', 'antioxidants']",80% positive,"The gel applies very smoothly, a little goes a long way, and its buildable."
322,All Set Blending Brush,$22.00,https://credobeauty.com/products/all-set-blending-brush,4.5,4,Exa,['all skin'],[],,
